Source,Target,Type,Weight
A,UNP,Undirected,0.481960
A,UPS,Undirected,0.502298
A,URI,Undirected,0.462736
A,USB,Undirected,0.533477
A,UTX,Undirected,0.521109
A,V,Undirected,0.527424
A,VAR,Undirected,0.531743
A,VFC,Undirected,0.410103
A,VIAB,Undirected,0.426504
A,VLO,Undirected,0.334772
A,VMC,Undirected,0.431467
A,VNO,Undirected,0.383970
A,VRSK,Undirected,0.451474
A,VRSN,Undirected,0.497642
A,VRTX,Undirected,0.204981
A,VTR,Undirected,0.172005
A,VZ,Undirected,0.293304
A,WAT,Undirected,0.648805
A,WBA,Undirected,0.039868
A,WDC,Undirected,0.436281
A,WEC,Undirected,0.165703
A,WFC,Undirected,0.514976
A,WFM,Undirected,0.285849
A,WHR,Undirected,0.434909
A,WLTW,Undirected,0.431810
A,WM,Undirected,0.434979
A,WMB,Undirected,0.364201
A,WMT,Undirected,0.259902
A,WRK,Undirected,-0.000226
A,WU,Undirected,0.287593
A,WY,Undirected,0.422393
A,WYN,Undirected,0.499094
A,WYNN,Undirected,0.368765
A,XEC,Undirected,0.379617
A,XEL,Undirected,0.184014
A,XL,Undirected,0.059224
A,XLNX,Undirected,0.476685
A,XOM,Undirected,0.414776
A,XRAY,Undirected,0.531596
A,XRX,Undirected,0.465830
A,XYL,Undirected,0.525306
A,YUM,Undirected,0.435748
A,ZBH,Undirected,0.525172
A,ZION,Undirected,0.495433
A,ZTS,Undirected,0.014009
AAL,AAP,Undirected,-0.009600
AAL,AAPL,Undirected,-0.088220
AAL,ABBV,Undirected,0.000418
AAL,ABC,Undirected,0.041017
AAL,ABT,Undirected,0.018555
AAL,ACN,Undirected,0.040851
AAL,ADBE,Undirected,0.043717
AAL,ADI,Undirected,-0.018042
AAL,ADM,Undirected,0.019204
AAL,ADP,Undirected,0.021494
AAL,ADS,Undirected,0.000558
AAL,ADSK,Undirected,0.090085
AAL,AEE,Undirected,0.028880
AAL,AEP,Undirected,0.054979
AAL,AES,Undirected,0.035801
AAL,AET,Undirected,0.059751
AAL,AFL,Undirected,-0.010588
AAL,AGN,Undirected,-0.038388
AAL,AIG,Undirected,0.011243
AAL,AIV,Undirected,0.064609
AAL,AIZ,Undirected,0.035063
AAL,AJG,Undirected,0.022796
AAL,AKAM,Undirected,-0.024291
AAL,ALB,Undirected,-0.051804
AAL,ALGN,Undirected,-0.064194
AAL,ALK,Undirected,-0.007741
AAL,ALL,Undirected,0.014003
AAL,ALLE,Undirected,0.021302
AAL,ALXN,Undirected,0.033267
AAL,AMAT,Undirected,0.039248
AAL,AMD,Undirected,0.050137
AAL,AME,Undirected,0.026486
AAL,AMG,Undirected,-0.031187
AAL,AMGN,Undirected,-0.006959
AAL,AMP,Undirected,-0.006240
AAL,AMZN,Undirected,0.032587
AAL,AN,Undirected,-0.015634
AAL,ANSS,Undirected,0.003484
AAL,ANTM,Undirected,0.062613
AAL,AON,Undirected,0.025101
AAL,APA,Undirected,-0.008756
AAL,APC,Undirected,-0.060909
AAL,APD,Undirected,-0.006123
AAL,APH,Undirected,-0.005474
AAL,ARE,Undirected,0.016550
AAL,ARNC,Undirected,-0.055823
AAL,ATVI,Undirected,0.000125
AAL,AVB,Undirected,0.030472
AAL,AVGO,Undirected,0.077345
AAL,AVY,Undirected,0.013463
AAL,AWK,Undirected,0.026248
AAL,AXP,Undirected,-0.005526
AAL,AYI,Undirected,-0.052026
AAL,AZO,Undirected,0.006973
AAL,BA,Undirected,0.014710
AAL,BAC,Undirected,-0.002947
AAL,BAX,Undirected,0.052681
AAL,BBBY,Undirected,-0.012551
AAL,BBT,Undirected,0.027835
AAL,BBY,Undirected,-0.049853
AAL,BCR,Undirected,0.015001
AAL,BDX,Undirected,0.032179
AAL,BEN,Undirected,0.010539
AAL,BF,Undirected,0.010245
AAL,BHI,Undirected,-0.048073
AAL,BIIB,Undirected,0.022358
AAL,BK,Undirected,-0.014514
AAL,BLK,Undirected,-0.004278
AAL,BLL,Undirected,0.008980
AAL,BMY,Undirected,-0.008869
AAL,BRK,Undirected,-0.002607
AAL,BSX,Undirected,0.008819
AAL,BWA,Undirected,-0.014582
AAL,BXP,Undirected,0.022560
AAL,C,Undirected,0.013475
AAL,CA,Undirected,0.000902
AAL,CAG,Undirected,0.032248
AAL,CAH,Undirected,-0.009700
AAL,CAT,Undirected,-0.037161
AAL,CB,Undirected,0.044552
AAL,CBG,Undirected,0.002565
AAL,CBOE,Undirected,0.011061
AAL,CBS,Undirected,-0.022858
AAL,CCI,Undirected,0.018083
AAL,CCL,Undirected,-0.017258
AAL,CELG,Undirected,-0.012108
AAL,CERN,Undirected,0.025152
AAL,CF,Undirected,-0.067267
AAL,CFG,Undirected,0.015798
AAL,CHD,Undirected,0.013895
AAL,CHK,Undirected,-0.006004
AAL,CHRW,Undirected,-0.021754
AAL,CHTR,Undirected,0.083494
AAL,CI,Undirected,0.017830
AAL,CINF,Undirected,0.038885
AAL,CL,Undirected,0.055788
AAL,CLX,Undirected,0.072583
AAL,CMA,Undirected,0.012096
AAL,CMCSA,Undirected,-0.026095
